TimeStamp,Kurtosis,Skewness,RMS,CrestFactor,ClearanceIndicator,ShapeIndicator,ImpulseIndicator,Variance,StandardDeviation,SRAV,AMAV,FGP
2021-11-12 ?? 9:59:18,1.35194,0.411695,0.002414,4.04805,8.33105,1.46377,5.9254,5.81E-06,0.00241004,0.00117296,0.00164917,0.830078
2021-11-12 ?? 9:59:17,-0.104428,-0.161748,0.000146093,3.16921,4.74093,1.26008,3.99346,2.12E-08,0.000145771,9.77E-05,0.000115939,0.0488281
2021-11-12 ?? 9:59:16,5.38014,-0.255184,0.00138953,5.38601,15.7974,1.80882,9.74234,1.87E-06,0.0013671,0.000473749,0.000768193,0.927734
2021-11-12 ?? 9:59:15,0.0806716,0.0870883,0.00373068,3.63794,5.4158,1.25929,4.58122,1.38E-05,0.00371899,0.002506,0.00296253,0.195312
2021-11-12 ?? 9:59:14,0.25334,0.293792,0.00414614,4.82352,7.10639,1.25247,6.04133,1.72E-05,0.00414614,0.00281423,0.00331036,0.439453
2021-11-12 ?? 9:59:13,3.27455,-0.355765,0.00231908,5.51986,14.1283,1.66414,9.18581,5.36E-06,0.00231528,0.000906054,0.00139356,0.537109
2021-11-12 ?? 9:59:12,8.4306,-2.69993,0.000827119,5.71018,15.3246,1.84984,10.5629,6.13E-07,0.000783078,0.000308198,0.00044713,0
2021-11-12 ?? 9:59:11,0.925439,-0.397786,0.00508393,4.63519,7.16459,1.29356,5.99588,2.58E-05,0.00508244,0.00328909,0.0039302,0
2021-11-12 ?? 9:59:10,-0.00945475,0.0449784,0.00322311,3.38927,4.9757,1.2495,4.2349,1.04E-05,0.00321758,0.00219547,0.00257952,0.195312
2021-11-12 ?? 9:59:09,1.92553,0.520939,0.00214517,4.16842,9.58414,1.53755,6.40917,4.6E-06,0.00214462,0.000932999,0.00139519,1.17188
2021-11-12 ?? 9:59:08,-0.511919,0.114594,0.00016699,2.76064,3.91951,1.21941,3.36634,2.13E-08,0.00014605,0.000117617,0.000136944,0.0488281
2021-11-12 ?? 9:59:07,4.68365,-1.05454,0.00175212,5.06243,13.8965,1.73885,8.80283,3.06E-06,0.00175048,0.000638289,0.00100763,0.195312
2021-11-12 ?? 9:59:06,-0.123923,0.192947,0.00365471,3.73272,5.44017,1.24141,4.63382,1.33E-05,0.00365029,0.00250764,0.002944,0.244141
2021-11-12 ?? 9:59:05,0.168551,0.0797205,0.00429651,4.14569,6.21464,1.26207,5.23214,1.85E-05,0.0042965,0.00286613,0.00340434,0.244141
2021-11-12 ?? 9:59:04,4.45109,-0.583153,0.00206052,5.73546,15.7189,1.75276,10.0529,4.22E-06,0.0020547,0.000751832,0.00117558,0.439453
2021-11-12 ?? 9:59:03,-0.387223,0.252216,0.00024823,2.80788,3.98513,1.21929,3.42362,5.99E-08,0.000244721,0.0001749,0.000203585,0.0976562
2021-11-12 ?? 9:59:02,4.10606,-0.207661,0.00365669,5.58401,13.4171,1.60986,8.98945,1.33E-05,0.00365374,0.00152187,0.00227144,0.732422
2021-11-12 ?? 9:59:01,1.02433,-0.206334,0.00440342,5.12624,8.03078,1.29952,6.66164,1.94E-05,0.00440182,0.00281081,0.0033885,0.0976562
2021-11-12 ?? 9:59:00,0.343757,0.0723397,0.0029655,4.31394,6.53043,1.2726,5.48991,8.76E-06,0.00295928,0.00195898,0.00233027,0.390625
2021-11-12 ?? 9:58:59,17.7863,-3.82279,0.000862596,7.67799,30.5871,2.32673,17.8646,6.42E-07,0.000801551,0.000216529,0.000370733,0
2021-11-12 ?? 9:58:58,-0.176449,0.0766521,0.000165846,3.34648,4.84558,1.23637,4.13749,2.28E-08,0.00015116,0.000114537,0.000134139,0.146484
2021-11-12 ?? 9:58:57,0.241868,-0.117079,0.0001723,3.18051,4.69665,1.25099,3.97879,1.88E-08,0.000137085,0.000116679,0.00013773,0.146484
2021-11-12 ?? 9:58:56,1.12758,-0.218214,0.00351494,4.08997,7.03966,1.35817,5.55488,1.23E-05,0.00351412,0.00204214,0.002588,0.390625
2021-11-12 ?? 9:58:55,0.109834,0.199968,0.00388464,4.49437,6.70343,1.25815,5.65457,1.51E-05,0.00388318,0.00260449,0.00308759,0.292969
2021-11-12 ?? 9:58:54,1.28577,0.211943,0.00388714,5.22569,8.34081,1.30742,6.83215,1.51E-05,0.0038861,0.00243538,0.00297315,0.585938
2021-11-12 ?? 9:58:53,-0.436034,0.10193,0.000246655,3.03664,4.3081,1.22074,3.70694,5.59E-08,0.000236533,0.000173859,0.000202053,0.0976562
2021-11-12 ?? 9:58:52,-0.484029,-0.0974216,0.000254785,3.02608,4.4035,1.23648,3.7417,6.17E-08,0.00024837,0.000175088,0.000206056,0
2021-11-12 ?? 9:58:51,5.72941,1.03705,0.00239614,5.41621,14.8345,1.75025,9.47971,5.74E-06,0.0023948,0.000874855,0.00136903,2.19727
2021-11-12 ?? 9:58:50,0.466608,-0.25914,0.00523216,4.60861,6.92918,1.26943,5.8503,2.74E-05,0.00523139,0.00347992,0.00412167,0.0488281
2021-11-12 ?? 9:58:49,0.323347,0.00797869,0.00345698,3.73361,5.60495,1.26763,4.73282,1.19E-05,0.00345359,0.00230279,0.00272713,0.439453
2021-11-12 ?? 9:58:48,8.06918,1.55572,0.00169404,6.35169,23.8546,2.02861,12.8851,2.87E-06,0.00169312,0.000451067,0.000835075,2.44141
2021-11-12 ?? 9:58:47,-0.26733,0.0712571,0.000163714,3.23124,4.64032,1.23027,3.97531,2.4E-08,0.000154981,0.000114001,0.000133071,0.0976562
2021-11-12 ?? 9:58:46,8.81528,2.33367,0.000305896,6.15568,11.1455,1.45791,8.97445,9.29E-08,0.00030472,0.000168947,0.000209818,2.19727
2021-11-12 ?? 9:58:45,0.179054,-0.165054,0.00413365,3.91833,5.71403,1.2504,4.89948,1.71E-05,0.00413347,0.0028346,0.00330586,0.195312
2021-11-12 ?? 9:58:44,0.0890459,0.278752,0.00405916,3.99811,5.94785,1.25768,5.02836,1.65E-05,0.00405854,0.00272855,0.0032275,0.439453
2021-11-12 ?? 9:58:43,2.75479,0.0697615,0.00349674,5.49655,10.7268,1.44852,7.96186,1.22E-05,0.00349559,0.00179177,0.00241401,0.732422
2021-11-12 ?? 9:58:42,-0.618239,-0.0194992,0.000251744,2.81636,4.01593,1.22342,3.44558,5.96E-08,0.000244175,0.000176547,0.000205771,0
2021-11-12 ?? 9:58:41,4.05863,-2.04302,0.00104139,4.57467,12.582,1.81244,8.2913,9.27E-07,0.000962718,0.000378637,0.000574578,0
2021-11-12 ?? 9:58:40,0.542246,-0.400236,0.00510995,4.40298,6.64753,1.27178,5.59964,2.61E-05,0.00510653,0.00338457,0.00401794,0
2021-11-12 ?? 9:58:39,0.220609,-0.0304186,0.00377473,4.00505,5.9775,1.26076,5.0494,1.42E-05,0.00376878,0.00252915,0.00299402,0.195312
2021-11-12 ?? 9:58:38,3.41861,0.349552,0.00217359,5.27192,13.3705,1.63011,8.59381,4.72E-06,0.00217209,0.000857039,0.0013334,1.12305
2021-11-12 ?? 9:58:37,-0.128488,-0.0694888,0.000159364,3.25669,4.8131,1.25037,4.07205,1.75E-08,0.000132255,0.000107831,0.000127454,0.0976562
